Unix Timestamp (UTC),Degrees (°C)
1579048202048,23.458000
1579048203048,23.429000
1579048204048,23.429000
1579048205048,23.458000
1579048206048,23.429000
1579048207049,23.429000
1579048208049,23.429000
1579048209049,23.429000
1579048210049,23.458000
1579048211049,23.429000
1579048212049,23.429000
1579048213049,23.429000
1579048214049,23.429000
1579048215049,23.429000
1579048216049,23.429000
1579048217049,23.458000
1579048218049,23.429000
1579048219050,23.429000
1579048220050,23.429000
1579048221050,23.429000
1579048222050,23.429000
1579048223050,23.458000
1579048224050,23.458000
1579048225050,23.429000
1579048226050,23.458000
1579048227050,23.429000
1579048228050,23.429000
1579048229050,23.429000
1579048230050,23.429000
1579048231051,23.429000
1579048232051,23.429000
1579048233051,23.429000
1579048234051,23.458000
1579048235051,23.429000
1579048236051,23.429000
1579048237051,23.429000
1579048238051,23.429000
1579048239051,23.429000
1579048240051,23.458000
1579048241051,23.429000
1579048242051,23.429000
1579048243052,23.458000
1579048244052,23.429000
1579048245052,23.429000
1579048246052,23.429000
1579048247052,23.429000
1579048248052,23.429000
1579048249052,23.429000
1579048250052,23.458000
1579048251052,23.429000
1579048252052,23.429000
1579048253052,23.429000
1579048254052,23.429000
1579048255053,23.429000
1579048256053,23.429000
1579048257053,23.458000
1579048258053,23.429000
1579048259053,23.429000
1579048260053,23.429000
1579048261053,23.429000
1579048262053,23.429000
1579048263053,23.429000
1579048264053,23.429000
1579048265053,23.429000
1579048266054,23.429000
1579048267054,23.429000
1579048268054,23.429000
1579048269054,23.429000
1579048270054,23.429000
1579048271054,23.429000
1579048272054,23.458000
1579048273054,23.429000
1579048274054,23.429000
1579048275054,23.429000
1579048276054,23.458000
1579048277054,23.429000
1579048278055,23.429000
1579048279055,23.429000
1579048280055,23.429000
1579048281055,23.429000
1579048282055,23.429000
1579048283055,23.429000
1579048284055,23.429000
1579048285055,23.458000
1579048286055,23.429000
1579048287055,23.429000
1579048288055,23.429000
1579048289055,23.429000
1579048290056,23.429000
1579048291056,23.458000
1579048292056,23.429000
1579048293056,23.400000
1579048294056,23.429000
1579048295056,23.429000
1579048296056,23.429000
1579048297056,23.429000
1579048298056,23.429000
1579048299056,23.429000
1579048300056,23.429000
1579048301056,23.429000
1579048302057,23.458000
1579048303057,23.458000
1579048304057,23.429000
1579048305057,23.429000
1579048306057,23.400000
1579048307057,23.458000
1579048308057,23.429000
1579048309057,23.429000
1579048310057,23.429000
1579048311057,23.429000
1579048312057,23.429000
1579048313057,23.429000
1579048314058,23.429000
1579048315058,23.429000
1579048316058,23.458000
1579048317058,23.429000
1579048318058,23.429000
1579048319058,23.458000
1579048320058,23.429000
1579048321058,23.429000
1579048322058,23.429000
1579048323058,23.458000
1579048324058,23.458000
1579048325059,23.429000
1579048326061,23.458000
1579048327064,23.429000
1579048328067,23.429000
1579048329070,23.458000
1579048330073,23.429000
1579048331076,23.429000
1579048332078,23.429000
1579048333081,23.429000
1579048334084,23.429000
1579048335087,23.429000
1579048336090,23.429000
1579048337093,23.429000
1579048338096,23.429000
1579048339098,23.429000
1579048340101,23.429000
1579048341104,23.458000
1579048342107,23.429000
1579048343110,23.429000
1579048344113,23.429000
1579048345116,23.458000
1579048346118,23.458000
1579048347121,23.429000
1579048348124,23.429000
1579048349127,23.400000
1579048350130,23.429000
1579048351133,23.458000
1579048352136,23.458000
1579048353138,23.429000
1579048354141,23.429000
1579048355144,23.429000
1579048356147,23.429000
1579048357150,23.429000
1579048358153,23.458000
1579048359155,23.429000
1579048360158,23.458000
1579048361161,23.429000
1579048362164,23.429000
1579048363167,23.429000
1579048364170,23.429000
1579048365173,23.429000
1579048366175,23.429000
1579048367178,23.429000
1579048368181,23.429000
1579048369184,23.429000
1579048370187,23.429000
1579048371190,23.458000
1579048372193,23.429000
1579048373195,23.429000
1579048374198,23.429000
1579048375201,23.458000
1579048376204,23.458000
1579048377207,23.458000
1579048378210,23.429000
1579048379213,23.458000
1579048380215,23.429000
1579048381218,23.458000
1579048382221,23.429000
1579048383224,23.429000
1579048384227,23.429000
1579048385230,23.429000
1579048386232,23.429000
1579048387235,23.429000
1579048388238,23.429000
1579048389241,23.458000
1579048390244,23.429000
1579048391247,23.429000
1579048392250,23.429000
1579048393252,23.429000
1579048394255,23.429000
1579048395258,23.458000
1579048396261,23.429000
1579048397264,23.429000
1579048398267,23.429000
1579048399270,23.429000
1579048400272,23.429000
1579048401275,23.429000
1579048402278,23.458000
1579048403281,23.429000
1579048404284,23.429000
1579048405287,23.429000
1579048406290,23.429000
1579048407292,23.458000
1579048408295,23.458000
1579048409298,23.429000
1579048410301,23.429000
1579048411304,23.429000
1579048412307,23.429000
1579048413309,23.429000
1579048414312,23.429000
1579048415315,23.458000
1579048416318,23.429000
1579048417321,23.458000
1579048418324,23.429000
1579048419327,23.458000
1579048420329,23.429000
1579048421332,23.429000
1579048422335,23.429000
1579048423338,23.429000
1579048424341,23.429000
1579048425344,23.429000
1579048426347,23.429000
1579048427349,23.429000
1579048428352,23.429000
1579048429355,23.429000
1579048430358,23.429000
1579048431361,23.429000
1579048432364,23.429000
1579048433367,23.429000
1579048434369,23.429000
1579048435372,23.429000
1579048436375,23.458000
1579048437378,23.429000
1579048438381,23.429000
1579048439384,23.429000
1579048440386,23.458000
1579048441389,23.429000
1579048442392,23.429000
1579048443395,23.429000
1579048444398,23.458000
1579048445401,23.429000
1579048446404,23.429000
1579048447406,23.458000
1579048448409,23.429000
1579048449412,23.458000
1579048450415,23.429000
1579048451418,23.429000
1579048452421,23.429000
1579048453424,23.429000
1579048454426,23.458000
1579048455429,23.429000
1579048456432,23.429000
1579048457435,23.429000
1579048458438,23.458000
1579048459441,23.429000
1579048460444,23.429000
1579048461440,23.429000
1579048462437,23.429000
1579048463434,23.429000
1579048464431,23.429000
1579048465428,23.458000
1579048466425,23.429000
1579048467421,23.429000
1579048468418,23.458000
1579048469415,23.429000
1579048470412,23.429000
1579048471409,23.429000
1579048472406,23.429000
1579048473402,23.458000
1579048474399,23.458000
1579048475396,23.458000
1579048476393,23.429000
1579048477390,23.458000
1579048478387,23.429000
1579048479383,23.458000
1579048480380,23.429000
1579048481377,23.458000
1579048482374,23.458000
1579048483371,23.429000
1579048484368,23.458000
1579048485365,23.429000
1579048486361,23.429000
1579048487358,23.458000
1579048488355,23.458000
1579048489352,23.458000
1579048490349,23.458000
1579048491346,23.429000
1579048492342,23.429000
1579048493339,23.429000
1579048494336,23.429000
1579048495333,23.458000
1579048496330,23.458000
1579048497327,23.429000
1579048498323,23.458000
1579048499320,23.429000
1579048500317,23.458000
1579048501314,23.429000
1579048502311,23.429000
1579048503308,23.458000
1579048504304,23.458000
1579048505301,23.458000
1579048506298,23.429000
1579048507295,23.458000
1579048508292,23.429000
1579048509289,23.429000
1579048510286,23.458000
1579048511282,23.429000
1579048512279,23.458000
1579048513276,23.458000
1579048514273,23.429000
1579048515270,23.429000
1579048516267,23.429000
1579048517263,23.429000
1579048518260,23.458000
1579048519257,23.458000
1579048520254,23.429000
1579048521251,23.458000
1579048522248,23.458000
1579048523244,23.458000
1579048524241,23.429000
1579048525238,23.458000
1579048526235,23.429000
1579048527232,23.429000
1579048528229,23.458000
1579048529225,23.458000
1579048530222,23.429000
1579048531219,23.458000
1579048532216,23.429000
1579048533213,23.429000
1579048534210,23.458000
1579048535207,23.458000
1579048536203,23.429000
1579048537200,23.458000
1579048538197,23.458000
1579048539194,23.458000
1579048540191,23.429000
1579048541188,23.458000
1579048542184,23.458000
1579048543181,23.429000
1579048544178,23.458000
1579048545175,23.458000
1579048546172,23.429000
1579048547169,23.458000
1579048548165,23.458000
1579048549162,23.458000
1579048550159,23.458000
1579048551156,23.429000
1579048552153,23.458000
1579048553150,23.458000
1579048554146,23.458000
1579048555143,23.429000
1579048556140,23.429000
1579048557137,23.458000
1579048558134,23.429000
1579048559131,23.429000
1579048560128,23.429000
1579048561124,23.458000
1579048562121,23.429000
1579048563118,23.429000
1579048564115,23.458000
1579048565112,23.458000
1579048566109,23.458000
1579048567105,23.458000
1579048568102,23.429000
1579048569099,23.429000
1579048570096,23.429000
1579048571093,23.458000
1579048572090,23.429000
1579048573086,23.429000
1579048574083,23.429000
1579048575080,23.429000
1579048576077,23.429000
1579048577074,23.429000
1579048578071,23.429000
1579048579067,23.429000
1579048580064,23.429000
1579048581061,23.429000
1579048582058,23.458000
1579048583055,23.458000
1579048584052,23.429000
1579048585049,23.429000
1579048586048,23.429000
1579048587048,23.429000
1579048588048,23.429000
1579048589048,23.400000
1579048590048,23.429000
1579048591048,23.429000
1579048592047,23.429000
1579048593047,23.429000
1579048594047,23.429000
1579048595047,23.429000
1579048596047,23.429000
1579048597047,23.429000
1579048598047,23.429000
1579048599046,23.429000
1579048600046,23.429000
1579048601046,23.429000
1579048602046,23.429000
1579048603046,23.429000
1579048604046,23.429000
1579048605045,23.429000
1579048606045,23.429000
1579048607045,23.429000
1579048608045,23.429000
1579048609045,23.400000
1579048610045,23.400000
1579048611045,23.400000
1579048612044,23.400000
1579048613044,23.400000
1579048614044,23.400000
1579048615044,23.400000
1579048616044,23.429000
1579048617044,23.429000
